Unique_ID,Date filed,Ticker,Company,Issuer_ID,Category_no,Category_en,Signal_type,Title,Insider name,Role,Transaction,Shares,New_holding_shares,New_holding_pct,Price_NOK,Market,Num_attachments,News_ID,Message_URL
679413|1,2026-08-11T09:44:08.171Z,STRO,StrongPoint ASA,6793,MELDEPLIKTIG HANDEL FOR PRIMÆRINNSIDERE,MANAGERS’ TRANSACTION,INSIDER_TRADE,StrongPoint ASA: Mandatory notification of trade,Trond K. Johannessen,Board Chair,BUY,3479,35736,0.1,10.06,XOSL,2,631908,https://newsweb.oslobors.no/message/679413
679413|2,2026-08-11T09:44:08.171Z,STRO,StrongPoint ASA,6793,MELDEPLIKTIG HANDEL FOR PRIMÆRINNSIDERE,MANAGERS’ TRANSACTION,INSIDER_TRADE,StrongPoint ASA: Mandatory notification of trade,Ingeborg Molden Hegstad,member of the board,BUY,1814,42649,0.1,10.06,XOSL,2,631908,https://newsweb.oslobors.no/message/679413
679413|3,2026-08-11T09:44:08.171Z,STRO,StrongPoint ASA,6793,MELDEPLIKTIG HANDEL FOR PRIMÆRINNSIDERE,MANAGERS’ TRANSACTION,INSIDER_TRADE,StrongPoint ASA: Mandatory notification of trade,Pål Wibe,member of the board,BUY,1814,15691,,10.06,XOSL,2,631908,https://newsweb.oslobors.no/message/679413
679413|4,2026-08-11T09:44:08.171Z,STRO,StrongPoint ASA,6793,MELDEPLIKTIG HANDEL FOR PRIMÆRINNSIDERE,MANAGERS’ TRANSACTION,INSIDER_TRADE,StrongPoint ASA: Mandatory notification of trade,Monica Aune,member of the board,BUY,1814,9811,,10.06,XOSL,2,631908,https://newsweb.oslobors.no/message/679413
679413|5,2026-08-11T09:44:08.171Z,STRO,StrongPoint ASA,6793,MELDEPLIKTIG HANDEL FOR PRIMÆRINNSIDERE,MANAGERS’ TRANSACTION,INSIDER_TRADE,StrongPoint ASA: Mandatory notification of trade,Preben Rasch-Olsen,member of the board,BUY,1814,9811,,10.06,XOSL,2,631908,https://newsweb.oslobors.no/message/679413
679413|6,2026-08-11T09:44:08.171Z,STRO,StrongPoint ASA,6793,MELDEPLIKTIG HANDEL FOR PRIMÆRINNSIDERE,MANAGERS’ TRANSACTION,INSIDER_TRADE,StrongPoint ASA: Mandatory notification of trade,StrongPoint ASA,Issuer,SELL,15770,40881,0.1,,XOSL,2,631908,https://newsweb.oslobors.no/message/679413
679383|1,2026-08-11T06:00:06.818Z,ELK,Elkem ASA,12616,MELDEPLIKTIG HANDEL FOR PRIMÆRINNSIDERE,MANAGERS’ TRANSACTION,INSIDER_TRADE,Elkem ASA - Termination of share option programme,Morten Viga,CFO,OPTIONS_CANCELLED,300000,50896,,,XOSL,1,631879,https://newsweb.oslobors.no/message/679383
679383|2,2026-08-11T06:00:06.818Z,ELK,Elkem ASA,12616,MELDEPLIKTIG HANDEL FOR PRIMÆRINNSIDERE,MANAGERS’ TRANSACTION,INSIDER_TRADE,Elkem ASA - Termination of share option programme,Håvard Moe,SVP Technology,OPTIONS_CANCELLED,300000,10990,,,XOSL,1,631879,https://newsweb.oslobors.no/message/679383
679383|3,2026-08-11T06:00:06.818Z,ELK,Elkem ASA,12616,MELDEPLIKTIG HANDEL FOR PRIMÆRINNSIDERE,MANAGERS’ TRANSACTION,INSIDER_TRADE,Elkem ASA - Termination of share option programme,Morten Magnus Voll,SVP Strategy and Business Development,OPTIONS_CANCELLED,150000,13188,,,XOSL,1,631879,https://newsweb.oslobors.no/message/679383
679383|4,2026-08-11T06:00:06.818Z,ELK,Elkem ASA,12616,MELDEPLIKTIG HANDEL FOR PRIMÆRINNSIDERE,MANAGERS’ TRANSACTION,INSIDER_TRADE,Elkem ASA - Termination of share option programme,Katja Lehland,SVP Human Resources,OPTIONS_CANCELLED,300000,,,,XOSL,1,631879,https://newsweb.oslobors.no/message/679383
